,pub_qos,sub_qos,delay,size,instances,rate_of_receive,mean_msg_loss,out_of_order,duplication_rate,mean_gap_ms,std_gap_ms
0,0,1,100,0,5,48.17,0.0,0.0,0.0,103.97,0.03783
0,0,0,0,4000,1,0,100,,,
0,1,0,100,4000,5,0,100,,,
0,1,0,0,4000,10,0,100,,,
0,1,0,0,1000,1,0,100,,,
0,0,1,100,4000,10,96.33,0.0,0.0,0.0,103.89,0.04611
0,0,1,0,4000,10,56393.43,0.03,0.0,0.0,0.18,0.00193
0,2,1,100,1000,5,48.17,0.0,0.0,0.0,103.94,0.02909
0,0,1,0,1000,5,53191.7,0.0,0.0,0.0,0.09,0.00045
0,2,2,0,4000,5,3376.57,96.53,0.0,0.0,1.49,0.00753
0,2,0,0,0,1,0,100,,,
0,0,0,0,4000,10,0,100,,,
0,0,0,0,4000,5,0,100,,,
0,0,1,0,1000,10,53341.93,0.0,0.0,0.0,0.19,0.00142
0,1,0,0,0,5,0,100,,,
0,1,0,0,1000,10,0,100,,,
0,2,1,0,1000,1,1566.83,99.06,0.0,0.0,0.65,
0,2,2,100,4000,5,48.17,0.0,0.0,0.0,103.96,0.03196
0,2,1,100,4000,10,96.33,0.0,0.0,0.0,103.87,0.06241
0,0,2,100,1000,10,96.33,0.0,0.0,0.0,103.94,0.05597
0,2,2,100,0,5,48.17,0.0,0.0,0.0,103.93,0.05319
0,1,2,100,4000,10,96.33,0.0,0.0,0.0,103.91,0.03546
0,1,0,0,0,10,0,100,,,
0,2,0,0,4000,1,0,100,,,
0,1,0,100,4000,10,0,100,,,
0,0,0,0,0,5,0,100,,,
0,0,2,0,1000,5,53747.13,0.01,0.0,0.0,0.09,0.00077
0,2,2,0,4000,10,2624.47,96.19,0.0,0.0,3.82,0.0156
0,1,1,100,4000,1,9.67,0.0,0.0,0.0,103.78,
0,2,1,100,0,10,96.37,0.0,0.0,0.0,103.84,0.06766
0,0,2,0,1000,1,50494.8,29.67,0.0,0.0,0.02,
0,2,2,0,1000,1,1916.67,99.17,0.0,0.0,0.52,
0,1,1,100,1000,10,96.4,0.0,0.0,0.0,103.88,0.09163
0,2,2,100,0,10,96.33,0.0,0.0,0.0,103.86,0.00929
0,2,2,0,1000,5,3938.2,96.18,0.0,0.0,1.28,0.0169
0,0,2,100,1000,1,9.63,0.0,0.0,0.0,103.94,
0,0,0,100,1000,1,0,100,,,
0,0,2,100,0,1,9.63,0.0,0.0,0.0,104.13,
0,2,1,0,4000,10,2684.17,96.13,0.0,0.0,3.74,0.05271
0,0,2,0,4000,10,56382.4,0.03,0.0,0.0,0.18,0.00353
0,1,1,0,1000,10,6170.93,91.85,0.0,0.0,1.63,0.02598
0,0,1,100,4000,1,9.63,0.0,0.0,0.0,104.06,
0,1,2,100,1000,5,48.17,0.0,0.0,0.0,103.92,0.12609
0,0,0,0,1000,10,0,100,,,
0,1,2,0,1000,1,2970.03,98.95,0.0,0.0,0.34,
0,1,0,0,1000,5,0,100,,,
0,1,0,100,1000,10,0,100,,,
0,0,0,100,4000,1,0,100,,,
0,2,1,0,0,1,2468.87,99.13,0.0,0.0,0.41,
0,0,0,100,0,5,0,100,,,
0,2,2,100,4000,1,9.63,0.0,0.0,0.0,103.96,
0,0,2,0,0,5,53893.37,0.0,0.0,0.0,0.09,0.00069
0,1,2,100,4000,5,48.17,0.0,0.0,0.0,103.99,0.03214
0,1,1,0,4000,10,4411.03,92.13,0.0,0.0,2.28,0.02807
0,1,1,0,4000,5,27370.27,80.61,0.0,13.14268,-7574.08,7985.08302
0,0,2,100,0,5,48.13,0.0,0.0,0.0,104.07,0.10839
0,1,1,0,0,5,7537.07,92.45,0.0,0.0,0.67,0.01056
0,0,1,0,4000,1,36873.67,39.23,0.0,0.0,0.03,
0,1,2,0,0,1,2182.0,99.19,0.0,0.0,0.18,
0,2,2,0,4000,1,1829.57,99.32,0.0,0.0,0.55,
0,2,0,100,0,5,0,100,,,
0,1,1,100,1000,1,9.67,0.0,0.0,0.0,103.81,
0,0,1,100,0,10,96.33,0.0,0.0,0.0,103.99,0.01801
0,1,2,0,4000,10,4513.33,92.39,0.0,0.0,2.23,0.02965
0,2,0,0,0,10,0,100,,,
0,2,0,0,1000,5,0,100,,,
0,1,2,100,0,1,9.6,0.0,0.0,0.0,104.28,
0,2,0,100,4000,10,0,100,,,
0,2,0,0,1000,10,0,100,,,
0,2,2,100,1000,1,9.63,0.0,0.0,0.0,104.03,
0,2,0,0,4000,10,0,100,,,
0,1,1,100,0,1,9.63,0.0,0.0,0.0,103.97,
0,2,0,0,0,5,0,100,,,
