,pub_qos,sub_qos,delay,size,instances,rate_of_receive,mean_msg_loss,out_of_order,duplication_rate,mean_gap_ms,std_gap_ms
0,0,1,100,0,5,48.17,0.0,0.0,0.0,104.07,0.01
0,0,0,0,4000,1,0,100,,,
0,1,0,100,4000,5,0,100,,,
0,1,0,0,4000,10,0,100,,,
0,1,0,0,1000,1,0,100,,,
0,0,1,100,4000,10,96.47,0.0,0.0,0.0,103.76,0.12
0,0,1,0,4000,10,51540.13,0.17,0.0,0.0,0.19,0.0
0,2,1,100,1000,5,48.27,0.0,0.0,0.0,103.87,0.19
0,0,1,0,1000,5,51790.73,0.02,0.0,0.0,0.1,0.0
0,2,2,0,4000,5,3464.0,96.5,0.0,0.0,1.45,0.01
0,2,0,0,0,1,0,100,,,
0,0,0,0,4000,10,0,100,,,
0,0,0,0,4000,5,0,100,,,
0,0,1,0,1000,10,50066.63,0.0,0.0,0.0,0.2,0.0
0,1,0,0,0,5,0,100,,,
0,1,0,0,1000,10,0,100,,,
0,2,1,0,1000,1,1416.33,99.32,0.0,0.0,0.71,
0,2,2,100,4000,5,48.33,0.0,0.0,0.0,103.73,0.04
0,2,1,100,4000,10,96.67,0.0,0.0,0.0,103.66,0.05
0,0,2,100,1000,10,96.4,0.0,0.0,0.0,103.83,0.03
0,2,2,100,0,5,48.17,0.0,0.0,0.0,103.94,0.08
0,1,2,100,4000,10,96.33,0.0,0.0,0.0,103.99,0.03
0,1,0,0,0,10,0,100,,,
0,2,0,0,4000,1,0,100,,,
0,1,0,100,4000,10,0,100,,,
0,0,0,0,0,5,0,100,,,
0,0,2,0,1000,5,54151.47,0.07,0.0,0.0,0.09,0.0
0,2,2,0,4000,10,2749.5,96.24,0.0,0.0,3.65,0.03
0,1,1,100,4000,1,9.63,0.0,0.0,0.0,104.12,
0,2,1,100,0,10,96.43,0.0,0.0,0.0,103.85,0.08
0,0,2,0,1000,1,57015.63,18.84,0.0,0.0,0.02,
0,2,2,0,1000,1,1256.43,99.57,0.0,0.0,0.8,
0,1,1,100,1000,10,96.33,0.0,0.0,0.0,103.92,0.01
0,2,2,100,0,10,96.33,0.0,0.0,0.0,103.89,0.06
0,2,2,0,1000,5,3860.63,96.26,0.0,0.0,1.3,0.02
0,0,2,100,1000,1,9.6,0.0,0.0,0.0,104.25,
0,0,0,100,1000,1,0,100,,,
0,0,2,100,0,1,9.63,0.0,0.0,0.0,103.97,
0,2,1,0,4000,10,2530.13,96.48,0.0,0.0,3.96,0.05
0,0,2,0,4000,10,57030.67,0.28,0.0,0.0,0.18,0.01
0,1,1,0,1000,10,6580.5,91.99,0.0,0.0,1.53,0.02
0,0,1,100,4000,1,9.63,0.0,0.0,0.0,103.92,
0,1,2,100,1000,5,48.0,0.0,0.0,0.0,104.22,0.01
0,0,0,0,1000,10,0,100,,,
0,1,2,0,1000,1,2556.4,99.08,0.0,0.0,0.39,
0,1,0,0,1000,5,0,100,,,
0,1,0,100,1000,10,0,100,,,
0,0,0,100,4000,1,0,100,,,
0,2,1,0,0,1,2460.33,99.11,0.0,0.0,0.41,
0,0,0,100,0,5,0,100,,,
0,2,2,100,4000,1,9.63,0.0,0.0,0.0,103.98,
0,0,2,0,0,5,53568.63,0.0,0.0,0.0,0.09,0.0
0,1,2,100,4000,5,48.17,0.0,0.0,0.0,104.1,0.03
0,1,1,0,4000,10,4374.47,92.39,0.0,0.0,2.3,0.04
0,1,1,0,4000,5,23517.47,82.29,0.0,8.039,-4256.31,4492.26
0,0,2,100,0,5,48.07,0.0,0.0,0.0,104.16,0.05
0,1,1,0,0,5,7923.4,91.96,0.0,0.0,0.64,0.0
0,0,1,0,4000,1,41954.2,31.44,0.0,0.0,0.03,
0,1,2,0,0,1,5517.03,97.89,0.0,0.0,0.18,
0,2,2,0,4000,1,1482.67,99.47,0.0,0.0,0.68,
0,2,0,100,0,5,0,100,,,
0,1,1,100,1000,1,9.63,0.0,0.0,0.0,103.89,
0,0,1,100,0,10,96.53,0.0,0.0,0.0,103.85,0.13
0,1,2,0,4000,10,4479.1,92.46,0.0,0.0,2.24,0.02
0,2,0,0,0,10,0,100,,,
0,2,0,0,1000,5,0,100,,,
0,1,2,100,0,1,9.47,0.0,0.0,0.0,105.81,
0,2,0,100,4000,10,0,100,,,
0,2,0,0,1000,10,0,100,,,
0,2,2,100,1000,1,9.67,0.0,0.0,0.0,103.79,
0,2,0,0,4000,10,0,100,,,
0,1,1,100,0,1,9.63,0.0,0.0,0.0,103.87,
0,2,0,0,0,5,0,100,,,
