,0
0,0:1747668627643:
1,1:1747668627644:
2,2:1747668627644:
3,3:1747668627645:
4,4:1747668627646:
5,5:1747668627647:
6,6:1747668627647:
7,7:1747668627648:
8,8:1747668627648:
9,9:1747668627648:
10,10:1747668627649:
11,11:1747668627650:
12,12:1747668627650:
13,13:1747668627650:
14,14:1747668627651:
15,15:1747668627653:
16,16:1747668627653:
17,17:1747668627653:
18,18:1747668627653:
19,19:1747668627653:
20,20:1747668627654:
21,21:1747668627654:
22,22:1747668627654:
23,23:1747668627654:
24,24:1747668627654:
25,25:1747668627654:
26,26:1747668627654:
27,27:1747668627656:
28,28:1747668627656:
29,29:1747668627656:
30,30:1747668627656:
31,31:1747668627656:
32,32:1747668627657:
33,33:1747668627657:
34,34:1747668627657:
35,35:1747668627657:
36,36:1747668627657:
37,37:1747668627657:
38,38:1747668627657:
39,39:1747668627657:
40,40:1747668627658:
41,41:1747668627658:
42,42:1747668627658:
43,43:1747668627658:
44,44:1747668627658:
45,45:1747668627658:
46,46:1747668627658:
47,47:1747668627658:
48,48:1747668627658:
49,49:1747668627658:
50,50:1747668627658:
51,51:1747668627658:
52,52:1747668627660:
53,53:1747668627660:
54,54:1747668627660:
55,55:1747668627660:
56,56:1747668627660:
57,57:1747668627660:
58,58:1747668627661:
59,59:1747668627661:
60,60:1747668627661:
61,61:1747668627661:
62,62:1747668627661:
63,63:1747668627661:
64,64:1747668627661:
65,65:1747668627662:
66,66:1747668627662:
67,67:1747668627662:
68,68:1747668627662:
69,69:1747668627662:
70,70:1747668627662:
71,71:1747668627662:
72,72:1747668627662:
73,73:1747668627662:
74,74:1747668627662:
75,75:1747668627662:
76,76:1747668627662:
77,77:1747668627662:
78,78:1747668627662:
79,79:1747668627662:
80,80:1747668627662:
81,81:1747668627662:
82,82:1747668627662:
83,83:1747668627662:
84,84:1747668627662:
85,85:1747668627669:
86,86:1747668627670:
87,87:1747668627670:
88,88:1747668627670:
89,89:1747668627670:
90,90:1747668627674:
91,91:1747668627674:
92,92:1747668627674:
93,93:1747668627675:
94,94:1747668627676:
95,95:1747668627681:
