,0
0,0:1747668448742:
1,1:1747668448744:
2,2:1747668448744:
3,3:1747668448745:
4,4:1747668448746:
5,5:1747668448746:
6,6:1747668448746:
7,7:1747668448746:
8,8:1747668448746:
9,9:1747668448746:
10,10:1747668448746:
11,11:1747668448747:
12,12:1747668448747:
13,13:1747668448747:
14,14:1747668448750:
15,15:1747668448750:
16,16:1747668448750:
17,17:1747668448750:
18,18:1747668448750:
19,19:1747668448750:
20,20:1747668448750:
21,21:1747668448750:
22,22:1747668448751:
23,23:1747668448751:
24,24:1747668448751:
25,25:1747668448751:
26,26:1747668448751:
27,27:1747668448751:
28,28:1747668448751:
29,29:1747668448751:
30,30:1747668448752:
31,31:1747668448752:
32,32:1747668448752:
33,33:1747668448752:
34,34:1747668448752:
35,35:1747668448752:
36,36:1747668448752:
37,37:1747668448752:
38,38:1747668448752:
39,39:1747668448752:
40,40:1747668448752:
41,41:1747668448752:
42,42:1747668448752:
43,43:1747668448752:
44,44:1747668448752:
45,45:1747668448752:
46,46:1747668448752:
47,47:1747668448752:
48,48:1747668448752:
49,49:1747668448752:
50,50:1747668448753:
51,51:1747668448753:
52,52:1747668448753:
53,53:1747668448753:
54,54:1747668448753:
55,55:1747668448754:
56,56:1747668448754:
57,57:1747668448754:
58,58:1747668448754:
59,59:1747668448754:
60,60:1747668448754:
61,61:1747668448754:
62,62:1747668448754:
63,63:1747668448754:
64,64:1747668448754:
65,65:1747668448754:
66,66:1747668448754:
67,67:1747668448754:
68,68:1747668448754:
69,69:1747668448754:
70,70:1747668448754:
71,71:1747668448757:
72,72:1747668448757:
73,73:1747668448757:
74,74:1747668448757:
75,75:1747668448757:
76,76:1747668448757:
77,77:1747668448757:
78,78:1747668448757:
79,79:1747668448757:
80,80:1747668448757:
81,81:1747668448757:
82,82:1747668448757:
83,83:1747668448757:
84,84:1747668448757:
85,85:1747668448757:
86,86:1747668448757:
87,87:1747668448757:
88,88:1747668448757:
89,89:1747668448758:
90,90:1747668448758:
91,91:1747668448758:
92,92:1747668448758:
93,93:1747668448758:
94,94:1747668448758:
95,95:1747668448758:
96,96:1747668448758:
97,97:1747668448758:
98,98:1747668448758:
99,99:1747668448758:
100,100:1747668448758:
101,101:1747668448758:
102,102:1747668448758:
103,103:1747668448758:
104,104:1747668448758:
105,105:1747668448758:
106,106:1747668448758:
107,107:1747668448758:
108,108:1747668448758:
109,109:1747668448758:
110,110:1747668448758:
111,111:1747668448758:
112,112:1747668448758:
113,113:1747668448758:
114,114:1747668448758:
115,115:1747668448758:
116,116:1747668448758:
117,117:1747668448758:
118,118:1747668448758:
119,119:1747668448758:
120,120:1747668448758:
121,121:1747668448758:
122,122:1747668448758:
123,123:1747668448758:
124,124:1747668448758:
125,125:1747668448759:
126,126:1747668448759:
127,127:1747668448759:
128,128:1747668448759:
129,129:1747668448759:
130,130:1747668448759:
131,131:1747668448759:
132,132:1747668448759:
133,133:1747668448759:
134,134:1747668448759:
135,135:1747668448759:
