topic,payload,recv_ts
counter/1/0/0/0,311761:1747635527119:,1747635551041
$SYS/broker/version,mosquitto version 2.0.11,1747635551049
$SYS/broker/uptime,226468 seconds,1747635551049
$SYS/broker/clients/total,14,1747635551049
$SYS/broker/clients/inactive,2,1747635551049
$SYS/broker/clients/disconnected,2,1747635551049
$SYS/broker/clients/active,12,1747635551049
$SYS/broker/clients/connected,12,1747635551049
$SYS/broker/load/messages/received/1min,38283.09,1747635551049
$SYS/broker/load/messages/received/5min,80886.22,1747635551049
$SYS/broker/load/messages/received/15min,165499.43,1747635551049
$SYS/broker/load/messages/sent/1min,38347.24,1747635551049
$SYS/broker/load/messages/sent/5min,70074.89,1747635551049
$SYS/broker/load/messages/sent/15min,109905.37,1747635551049
$SYS/broker/load/publish/dropped/1min,3.22,1747635551049
$SYS/broker/load/publish/dropped/5min,4553.31,1747635551049
$SYS/broker/load/publish/dropped/15min,21652.48,1747635551049
$SYS/broker/load/publish/received/1min,38229.62,1747635551049
$SYS/broker/load/publish/received/5min,80837.67,1747635551049
$SYS/broker/load/publish/received/15min,165463.49,1747635551050
$SYS/broker/load/publish/sent/1min,38289.10,1747635551050
$SYS/broker/load/publish/sent/5min,70022.45,1747635551050
$SYS/broker/load/publish/sent/15min,109865.22,1747635551050
$SYS/broker/load/bytes/received/1min,1482801.42,1747635551050
$SYS/broker/load/bytes/received/5min,3156552.71,1747635551050
$SYS/broker/load/bytes/received/15min,6524828.55,1747635551050
$SYS/broker/load/bytes/sent/1min,1483461.14,1747635551050
$SYS/broker/load/bytes/sent/5min,2726378.29,1747635551050
$SYS/broker/load/bytes/sent/15min,4301734.73,1747635551050
$SYS/broker/load/sockets/1min,9.91,1747635551050
$SYS/broker/load/sockets/5min,9.17,1747635551050
$SYS/broker/load/sockets/15min,6.79,1747635551050
$SYS/broker/load/connections/1min,9.91,1747635551050
$SYS/broker/load/connections/5min,9.17,1747635551050
$SYS/broker/load/connections/15min,6.79,1747635551050
$SYS/broker/messages/stored,48,1747635551050
$SYS/broker/messages/received,54072538,1747635551050
$SYS/broker/messages/sent,18539068,1747635551050
$SYS/broker/store/messages/count,48,1747635551051
$SYS/broker/store/messages/bytes,336,1747635551051
$SYS/broker/subscriptions/count,63,1747635551051
$SYS/broker/retained messages/count,48,1747635551051
$SYS/broker/heap/current,115696,1747635551051
$SYS/broker/publish/messages/received,54059855,1747635551051
$SYS/broker/publish/messages/sent,18525469,1747635551051
$SYS/broker/publish/bytes/received,1130013992,1747635551051
$SYS/broker/publish/bytes/sent,380866077,1747635551051
$SYS/broker/bytes/received,2157565589,1747635551051
$SYS/broker/bytes/sent,733529446,1747635551051
counter/1/0/0/0,311762:1747635527119:,1747635551051
counter/1/0/0/0,311763:1747635527119:,1747635551052
counter/1/0/0/0,311764:1747635527119:,1747635551052
counter/1/0/0/0,311765:1747635527119:,1747635551052
counter/1/0/0/0,311766:1747635527119:,1747635551052
counter/1/0/0/0,311767:1747635527119:,1747635551052
counter/1/0/0/0,311768:1747635527119:,1747635551052
counter/1/0/0/0,311769:1747635527119:,1747635551052
counter/1/0/0/0,311770:1747635527119:,1747635551052
counter/1/0/0/0,311771:1747635527119:,1747635551052
counter/1/0/0/0,311772:1747635527119:,1747635551052
counter/1/0/0/0,311773:1747635527119:,1747635551053
counter/1/0/0/0,311774:1747635527119:,1747635551053
counter/1/0/0/0,311775:1747635527119:,1747635551053
counter/1/0/0/0,311776:1747635527119:,1747635551053
counter/1/0/0/0,311777:1747635527119:,1747635551053
counter/1/0/0/0,311778:1747635527119:,1747635551053
counter/1/0/0/0,311779:1747635527119:,1747635551053
counter/1/0/0/0,311780:1747635527119:,1747635551054
counter/1/0/0/0,311781:1747635527119:,1747635551054
counter/1/0/0/0,311782:1747635527119:,1747635551054
